,【结束关卡】
■■,我心支离破碎，一如往昔。
谛听,身体好痛，感觉要裂成两半了。
狐婆婆,毕竟那孩子的「私之界」是那样，一个碎裂成两半的内心。
谛听,但是，究竟是怎样的打击会让那个孩子变成那样？他还是初中生吧？
狐婆婆,答案不就在你的面具上吗？谁被允许进入他的「私之界」。
谛听,一个男人和一个女人？
狐婆婆,……你这蠢家伙！显然是那孩子的父母啊！
狐婆婆,现在的父母也真是的，随心所欲的在一起，把孩子当成激情的附带品，一点责任心也没有！
狐婆婆,我们那时候，哪怕养一窝，都照顾得好好的！
谛听,只是饿不死，就称得上负责任吗？奶奶，现在的父母没你那时候那么轻松。
谛听,孩子就是吞金兽什么的，不过他毕竟是生命的延续，既然选择将他带到了这个世界上。
谛听,就应该负责任。
狐婆婆,你这妮子，说话可真不中听，什么叫以前很轻松？奶奶我当年也得抱着我儿子躲到房梁上！
谛听,妮子……？
谛听,你是说夜小桃吗？她不会来了，她是不会原谅我的。
夜小桃,……
狐婆婆,不，她会来的。
,【柜台上的乌鸦啼叫了三声】
谛听,嗯？又有人坠入「临界」了？
谛听,这次又是怎样的「私之界」？谁才被允许进入他的内心呢？
夜小桃,谁知道呢……或许我们根本没有自己想到那么坚强。
夜小桃,世界即舞台，但没有了主角的戏剧，又能延续多久呢？
,【带上面具】
谛听（小狐狸）,吱吱！
谛听（小狐狸）,我怎么变成狐狸了？要被「灵狐」夺舍了！
